,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
City of Milwaukee Ward 205 ,922,793,572,197,1,15,3,4
City of Milwaukee Ward 206 ,736,655,479,163,1,9,0,2
City of Milwaukee Ward 207 ,865,730,446,270,2,8,3,1
City of Milwaukee Ward 208 ,988,835,512,302,1,14,1,4
City of Milwaukee Ward 209 ,865,763,453,295,3,5,2,4
City of Milwaukee Ward 210 ,818,691,355,315,2,12,1,4
City of Milwaukee Ward 211 ,933,771,461,285,1,15,4,4
City of Milwaukee Ward 212 ,1046,843,514,310,2,12,0,4
City of Milwaukee Ward 213 ,1085,884,569,294,2,14,3,1
City of Milwaukee Ward 214 ,532,441,335,100,3,3,0,0
City of Milwaukee Ward 215 ,512,383,299,79,1,2,1,1
City of Milwaukee Ward 216 ,448,314,243,65,1,2,0,3
City of Milwaukee Ward 217 ,861,686,506,164,1,5,3,6
City of Milwaukee Ward 218 ,977,736,569,155,0,4,2,3
City of Milwaukee Ward 219 ,658,511,391,111,1,4,1,1
City of Milwaukee Ward 220 ,696,525,424,95,1,2,1,1
City of Milwaukee Ward 221 ,1252,991,759,219,2,5,2,2
City of Milwaukee Ward 222 ,843,597,460,128,1,3,1,2
City of Milwaukee Ward 223 ,893,666,498,156,1,5,1,0
City of Milwaukee Ward 224 ,713,472,350,107,1,6,4,2
City of Milwaukee Ward 225 ,675,461,350,101,0,6,2,0
City of Milwaukee Ward 226 ,386,252,210,42,0,0,0,0
City of Milwaukee Ward 227 ,990,715,589,107,3,4,1,4
City of Milwaukee Ward 228 ,553,366,291,67,2,1,1,2
City of Milwaukee Ward 229 ,534,340,272,62,0,2,1,0
City of Milwaukee Ward 230 ,879,592,467,110,1,3,2,5
City of Milwaukee Ward 231 ,423,273,204,62,1,3,0,1
City of Milwaukee Ward 232 ,350,230,180,43,0,3,2,0
City of Milwaukee Ward 233 ,301,206,173,32,1,0,0,0
City of Milwaukee Ward 234 ,688,588,458,114,1,7,1,2
City of Milwaukee Ward 235 ,2116,1768,1391,339,3,23,1,8
City of Milwaukee Ward 236 ,632,456,367,75,1,4,2,1
City of Milwaukee Ward 237 ,872,593,490,91,2,5,1,3
City of Milwaukee Ward 238 ,703,490,368,113,3,4,0,1
City of Milwaukee Ward 239 ,664,441,349,88,1,1,0,2
City of Milwaukee Ward 240 ,801,577,464,97,3,5,2,6
City of Milwaukee Ward 241 ,1554,1299,1040,227,0,24,2,3
City of Milwaukee Ward 242 ,1069,921,740,159,2,7,2,10
City of Milwaukee Ward 243 ,1215,1085,852,215,1,10,0,5
City of Milwaukee Ward 244 ,1006,862,699,152,0,5,0,6
City of Milwaukee Ward 245 ,815,702,556,135,2,9,0,0
