,Joseph R. Biden / Kamala D. Harris,Donald J. Trump / Michael R. Pence,Don Blankenship / William Mohr,Jo Jorgensen / Jeremy Spike Cohen,Brian Carroll / Amar Patel,WRITE-IN,
City of Milwaukee Ward 305 ,567,344,1,13,2,5,
City of Milwaukee Ward 306 ,476,215,2,3,3,1,
City of Milwaukee Ward 307 ,486,302,1,7,1,5,
City of Milwaukee Ward 308 ,506,235,1,6,0,4,
City of Milwaukee Ward 309 ,645,453,4,7,2,3,
City of Milwaukee Ward 310 ,250,104,1,1,0,0,
City of Milwaukee Ward 311 ,368,277,2,8,1,0,
City of Milwaukee Ward 312 ,553,389,0,3,2,3,
City of Milwaukee Ward 313 ,950,762,2,22,1,6,
City of Milwaukee Ward 314 ,347,320,3,8,1,1,
City of Milwaukee Ward 315 ,466,436,2,7,1,4,
City of Milwaukee Ward 316 ,373,370,0,2,0,5,
City of Milwaukee Ward 317 ,533,352,3,13,0,0,
City of Milwaukee Ward 318 ,0,0,0,0,0,0,
City of Milwaukee Ward 319 ,0,0,0,0,0,0,
City of Milwaukee Ward 320 ,37,4,0,0,0,0,
City of Milwaukee Ward 321 ,173,29,1,1,2,0,
City of Milwaukee Ward 322 ,98,23,0,0,1,1,
City of Milwaukee Ward 323 ,203,58,0,1,0,0,
City of Milwaukee Ward 324 ,84,26,0,0,1,0,
City of Milwaukee Ward 325 ,299,74,0,5,2,1,
City of Milwaukee Ward 326 ,2,3,0,0,0,0,
City of Milwaukee Ward 327 ,0,0,0,0,0,0,
"Village of Bayside Wards 1,3   ",719,323,0,4,2,1,
"Village of Bayside Wards 1S,3S ",47,24,0,0,0,0,
"Village of Bayside Wards 2,4   ",911,327,1,7,3,5,
Village of Bayside Ward 5 ,508,192,0,5,1,0,
"V. Brown Deer Wards 1,2 ",1891,553,4,22,5,13,
"V. Brown Deer Wards 3,4 ",1684,772,4,25,0,5,
"V. Brown Deer Wards 5,6 ",1749,686,6,18,7,11,
"City of Cudahy Wards 1,2,3 ",1225,729,2,20,1,7,
"City of Cudahy Wards 4,5,6 ",983,797,2,30,1,6,
"City of Cudahy Wards 7,8,9 ",857,715,1,20,0,2,
"City of Cudahy Wards 10,11,12  ",963,936,3,12,3,7,
"City of Cudahy Wards 13,14,15  ",1118,1050,1,15,1,4,
"V. Fox Point Wards 1,2,3,4 ",1533,641,3,12,1,11,
"V. Fox Point Wards 5,6,7,8,9   ",1959,788,0,26,3,10,
City of Franklin Ward 1 ,0,1,0,0,0,0,
City of Franklin Ward 2 ,631,878,0,20,0,2,
City of Franklin Ward 3 ,751,823,1,13,3,7,
City of Franklin Ward 4 ,321,470,0,4,1,2,
City of Franklin Ward 5 ,286,369,1,1,2,0,
City of Franklin Ward 6 ,495,582,2,11,1,2,
City of Franklin Ward 7 ,650,777,0,6,2,2,
City of Franklin Ward 8 ,553,428,0,17,0,4,
City of Franklin Ward 9 ,522,469,2,8,1,1,
City of Franklin Ward 10 ,242,197,2,4,0,1,
City of Franklin Ward 11 ,540,653,0,10,0,0,
City of Franklin Ward 12 ,337,502,3,4,2,1,
City of Franklin Ward 13 ,552,635,2,9,0,2,
City of Franklin Ward 14 ,494,528,1,5,3,2,
City of Franklin Ward 15A ,209,330,0,4,0,0,
City of Franklin Ward 15B ,177,207,1,3,1,1,
City of Franklin Ward 16 ,528,692,2,10,3,4,
City of Franklin Ward 17 ,396,350,2,6,0,3,
City of Franklin Ward 18 ,212,256,1,2,1,0,
City of Franklin Ward 19 ,557,712,0,8,1,1,
City of Franklin Ward 20 ,329,339,1,5,2,1,
City of Franklin Ward 21 ,174,127,0,8,0,2,
City of Franklin Ward 22A ,317,396,1,3,0,1,
City of Franklin Ward 22B ,280,386,2,3,0,6,
City of Franklin Ward 23 ,493,763,1,17,0,1,
"City of Glendale Wards 1,7 ",984,347,0,23,4,5,
"City of Glendale Wards 2,8S ",712,212,2,4,0,5,
City of Glendale Ward 8 ,356,172,0,1,0,0,
"City of Glendale Wards 3,9 ",1053,459,0,26,2,6,
"City of Glendale Wards 4,10 ",1172,468,3,9,2,3,
"City of Glendale Wards 5,11 (D ",934,357,1,13,4,3,
City of Glendale Ward 11S (Dis ,235,41,0,1,1,0,
"City of Glendale Wards 6,12 ",866,270,2,9,0,6,
"V. Greendale Wards 1,2 ",824,916,1,19,1,4,
"V. Greendale Wards 3,4 ",1061,904,5,30,1,6,
"V. Greendale Wards 5,6 ",912,845,0,18,2,5,
"V. Greendale Wards 7,8 ",900,824,3,24,2,3,
"V. Greendale Wards 9,10 ",1087,1024,3,6,0,6,
City of Greenfield Ward 1 ,576,438,1,11,5,4,
City of Greenfield Ward 2 ,445,447,0,10,1,0,
City of Greenfield Ward 3 ,495,343,1,10,0,3,
City of Greenfield Ward 4 ,516,306,2,6,0,2,
City of Greenfield Ward 5 ,520,439,2,8,0,3,
