,Joseph R. Biden / Kamala D. Harris,Donald J. Trump / Michael R. Pence,Don Blankenship / William Mohr,Jo Jorgensen / Jeremy Spike Cohen,Brian Carroll / Amar Patel,WRITE-IN,
City of West Allis Ward 12 ,582,663,2,16,1,1,
City of West Allis Ward 13 ,843,829,2,37,2,2,
City of West Allis Ward 14 ,531,355,0,13,3,4,
City of West Allis Ward 15 ,527,433,4,18,2,2,
City of West Allis Ward 16 ,496,473,1,14,3,9,
City of West Allis Ward 17 ,680,641,1,13,6,7,
City of West Allis Ward 18 ,754,771,4,19,2,0,
City of West Allis Ward 19 ,736,649,5,12,2,6,
City of West Allis Ward 20 ,559,453,1,7,2,2,
City of West Allis Ward 21 ,683,572,0,16,3,5,
City of West Allis Ward 22 ,566,410,1,9,1,3,
City of West Allis Ward 23 ,686,730,0,17,0,7,
City of West Allis Ward 24 ,552,357,2,8,0,3,
City of West Allis Ward 25 ,654,686,1,20,1,3,
"V. West Milwaukee Wards 1,2,5  ",519,249,2,6,2,3,
"V. West Milwaukee Wards 3,4,6  ",611,290,2,14,1,2,
"V. Whitefish Bay Wards 1,2 ",1044,550,0,11,0,9,
"V. Whitefish Bay Wards 3,4 ",1052,437,0,12,1,6,
"V. Whitefish Bay Wards 5,6 ",1148,501,0,7,4,8,
V. Whitefish Bay Ward 7 ,614,208,1,3,2,5,
"V. Whitefish Bay Wards 8,10 ",1344,483,1,13,1,2,
"V. Whitefish Bay Wards 9,11 ",1211,378,1,21,2,2,
V. Whitefish Bay Ward 12 ,667,310,2,14,0,4,
