Chicago Board of Election Commissioners,,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%,
1067190,877852,82.26%,172402,16.15%,5826,0.55%,2519,0.24%,1331,0.12%,7260,0.68%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
29,720,616,85.56%,89,12.36%,2,0.28%,1,0.14%,2,0.28%,10,1.39%
30,782,715,91.43%,55,7.03%,1,0.13%,5,0.64%,1,0.13%,5,0.64%
31,673,590,87.67%,67,9.96%,11,1.63%,1,0.15%,0,0%,4,0.59%
32,744,683,91.80%,47,6.32%,5,0.67%,2,0.27%,0,0%,7,0.94%
33,651,553,84.95%,82,12.60%,1,0.15%,2,0.31%,1,0.15%,12,1.84%
34,657,576,87.67%,65,9.89%,7,1.07%,3,0.46%,0,0%,6,0.91%
35,658,542,82.37%,102,15.50%,2,0.30%,0,0%,0,0%,12,1.82%
36,705,638,90.50%,59,8.37%,0,0%,2,0.28%,0,0%,6,0.85%
37,611,537,87.89%,60,9.82%,5,0.82%,3,0.49%,0,0%,6,0.98%
38,635,560,88.19%,65,10.24%,3,0.47%,2,0.31%,0,0%,5,0.79%
39,636,559,87.89%,66,10.38%,5,0.79%,1,0.16%,3,0.47%,2,0.31%
40,600,546,91.00%,47,7.83%,3,0.50%,1,0.17%,0,0%,3,0.50%
41,684,610,89.18%,66,9.65%,4,0.58%,1,0.15%,1,0.15%,2,0.29%
42,593,528,89.04%,51,8.60%,6,1.01%,4,0.67%,0,0%,4,0.67%
43,580,481,82.93%,83,14.31%,5,0.86%,1,0.17%,1,0.17%,9,1.55%
44,647,526,81.30%,111,17.16%,1,0.15%,1,0.15%,0,0%,8,1.24%
45,581,532,91.57%,41,7.06%,3,0.52%,0,0%,1,0.17%,4,0.69%
46,679,549,80.85%,116,17.08%,4,0.59%,0,0%,2,0.29%,8,1.18%
47,785,681,86.75%,91,11.59%,3,0.38%,1,0.13%,3,0.38%,6,0.76%
48,59,38,64.41%,20,33.90%,0,0%,0,0%,0,0%,1,1.69%
Total,32229,28158,87.37%,3441,10.68%,181,0.56%,79,0.25%,32,0.10%,338,1.05%
,,,,,,,,,,,,,
Ward 48,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,591,540,91.37%,41,6.94%,4,0.68%,1,0.17%,1,0.17%,4,0.68%
2,270,232,85.93%,31,11.48%,3,1.11%,1,0.37%,1,0.37%,2,0.74%
3,711,618,86.92%,82,11.53%,3,0.42%,3,0.42%,0,0%,5,0.70%
4,605,553,91.40%,46,7.60%,1,0.17%,3,0.50%,1,0.17%,1,0.17%
5,342,299,87.43%,41,11.99%,0,0%,1,0.29%,0,0%,1,0.29%
6,747,649,86.88%,81,10.84%,5,0.67%,2,0.27%,2,0.27%,8,1.07%
7,617,580,94.00%,33,5.35%,2,0.32%,0,0%,0,0%,2,0.32%
8,328,270,82.32%,52,15.85%,1,0.30%,2,0.61%,0,0%,3,0.91%
9,448,330,73.66%,111,24.78%,2,0.45%,1,0.22%,1,0.22%,3,0.67%
10,776,722,93.04%,47,6.06%,3,0.39%,2,0.26%,1,0.13%,1,0.13%
11,477,444,93.08%,24,5.03%,4,0.84%,1,0.21%,1,0.21%,3,0.63%
12,740,672,90.81%,54,7.30%,3,0.41%,2,0.27%,0,0%,9,1.22%
13,813,673,82.78%,132,16.24%,3,0.37%,0,0%,2,0.25%,3,0.37%
14,319,251,78.68%,66,20.69%,0,0%,0,0%,1,0.31%,1,0.31%
15,405,337,83.21%,61,15.06%,4,0.99%,0,0%,1,0.25%,2,0.49%
16,676,581,85.95%,83,12.28%,7,1.04%,2,0.30%,0,0%,3,0.44%
17,561,482,85.92%,62,11.05%,12,2.14%,0,0%,0,0%,5,0.89%
18,443,366,82.62%,71,16.03%,2,0.45%,1,0.23%,2,0.45%,1,0.23%
19,365,331,90.68%,25,6.85%,2,0.55%,2,0.55%,1,0.27%,4,1.10%
20,616,558,90.58%,51,8.28%,3,0.49%,1,0.16%,2,0.32%,1,0.16%
21,856,722,84.35%,114,13.32%,6,0.70%,2,0.23%,0,0%,12,1.40%
22,510,408,80.00%,99,19.41%,2,0.39%,1,0.20%,0,0%,0,0%
23,582,490,84.19%,78,13.40%,3,0.52%,1,0.17%,3,0.52%,7,1.20%
24,768,562,73.18%,198,25.78%,3,0.39%,1,0.13%,0,0%,4,0.52%
25,469,427,91.04%,32,6.82%,6,1.28%,0,0%,0,0%,4,0.85%
26,293,245,83.62%,44,15.02%,1,0.34%,1,0.34%,0,0%,2,0.68%
27,575,508,88.35%,51,8.87%,8,1.39%,2,0.35%,1,0.17%,5,0.87%
28,784,567,72.32%,198,25.26%,10,1.28%,3,0.38%,2,0.26%,4,0.51%
29,278,241,86.69%,36,12.95%,0,0%,0,0%,1,0.36%,0,0%
30,485,437,90.10%,40,8.25%,3,0.62%,1,0.21%,2,0.41%,2,0.41%
31,875,750,85.71%,104,11.89%,11,1.26%,3,0.34%,0,0%,7,0.80%
32,689,603,87.52%,69,10.01%,9,1.31%,0,0%,4,0.58%,4,0.58%
33,343,290,84.55%,51,14.87%,2,0.58%,0,0%,0,0%,0,0%
34,511,463,90.61%,39,7.63%,4,0.78%,1,0.20%,1,0.20%,3,0.59%
35,439,347,79.04%,83,18.91%,3,0.68%,2,0.46%,3,0.68%,1,0.23%
36,364,308,84.62%,51,14.01%,1,0.27%,1,0.27%,0,0%,3,0.82%
37,633,579,91.47%,44,6.95%,4,0.63%,2,0.32%,1,0.16%,3,0.47%
38,609,533,87.52%,69,11.33%,1,0.16%,3,0.49%,0,0%,3,0.49%
39,486,405,83.33%,77,15.84%,0,0%,0,0%,0,0%,4,0.82%
40,509,462,90.77%,39,7.66%,2,0.39%,2,0.39%,0,0%,4,0.79%
41,788,704,89.34%,68,8.63%,6,0.76%,4,0.51%,0,0%,6,0.76%
42,632,595,94.15%,28,4.43%,1,0.16%,4,0.63%,1,0.16%,3,0.47%
43,689,603,87.52%,76,11.03%,5,0.73%,0,0%,2,0.29%,3,0.44%
44,727,674,92.71%,43,5.91%,4,0.55%,3,0.41%,0,0%,3,0.41%
45,419,386,92.12%,25,5.97%,2,0.48%,3,0.72%,0,0%,3,0.72%
46,403,341,84.62%,58,14.39%,3,0.74%,1,0.25%,0,0%,0,0%
Total,25566,22138,86.59%,3008,11.77%,164,0.64%,66,0.26%,38,0.15%,152,0.59%
,,,,,,,,,,,,,
Ward 49,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,414,379,91.55%,27,6.52%,4,0.97%,2,0.48%,1,0.24%,1,0.24%
2,343,323,94.17%,14,4.08%,1,0.29%,1,0.29%,1,0.29%,3,0.87%
3,704,639,90.77%,59,8.38%,5,0.71%,0,0%,0,0%,1,0.14%
4,766,683,89.16%,57,7.44%,10,1.31%,7,0.91%,1,0.13%,8,1.04%
5,551,493,89.47%,48,8.71%,6,1.09%,2,0.36%,1,0.18%,1,0.18%
6,506,459,90.71%,38,7.51%,2,0.40%,2,0.40%,0,0%,5,0.99%
7,488,420,86.07%,59,12.09%,2,0.41%,3,0.61%,0,0%,4,0.82%
8,538,476,88.48%,57,10.59%,1,0.19%,1,0.19%,0,0%,3,0.56%
9,582,518,89.00%,52,8.93%,3,0.52%,1,0.17%,2,0.34%,6,1.03%
10,672,587,87.35%,75,11.16%,5,0.74%,0,0%,2,0.30%,3,0.45%
11,725,672,92.69%,38,5.24%,6,0.83%,4,0.55%,0,0%,5,0.69%
12,703,623,88.62%,62,8.82%,5,0.71%,3,0.43%,3,0.43%,7,1.00%
13,699,613,87.70%,72,10.30%,7,1.00%,2,0.29%,1,0.14%,4,0.57%
14,443,391,88.26%,46,10.38%,2,0.45%,2,0.45%,0,0%,2,0.45%
15,451,403,89.36%,41,9.09%,3,0.67%,1,0.22%,1,0.22%,2,0.44%
16,506,439,86.76%,53,10.47%,7,1.38%,1,0.20%,1,0.20%,5,0.99%
17,530,422,79.62%,98,18.49%,6,1.13%,0,0%,2,0.38%,2,0.38%
18,731,670,91.66%,46,6.29%,7,0.96%,2,0.27%,3,0.41%,3,0.41%
19,569,520,91.39%,40,7.03%,3,0.53%,0,0%,1,0.18%,5,0.88%
20,898,817,90.98%,69,7.68%,7,0.78%,3,0.33%,0,0%,2,0.22%
21,358,318,88.83%,38,10.61%,0,0%,0,0%,1,0.28%,1,0.28%
22,635,549,86.46%,68,10.71%,6,0.94%,2,0.31%,3,0.47%,7,1.10%
23,778,679,87.28%,77,9.90%,8,1.03%,2,0.26%,2,0.26%,10,1.29%
24,471,425,90.23%,34,7.22%,7,1.49%,2,0.42%,1,0.21%,2,0.42%
25,723,630,87.14%,70,9.68%,5,0.69%,7,0.97%,3,0.41%,8,1.11%
26,729,624,85.60%,96,13.17%,7,0.96%,1,0.14%,0,0%,1,0.14%
27,676,601,88.91%,57,8.43%,6,0.89%,4,0.59%,2,0.30%,6,0.89%
28,808,725,89.73%,62,7.67%,6,0.74%,6,0.74%,4,0.50%,5,0.62%
29,703,623,88.62%,64,9.10%,6,0.85%,7,1.00%,0,0%,3,0.43%
30,634,543,85.65%,76,11.99%,6,0.95%,3,0.47%,1,0.16%,5,0.79%
31,435,381,87.59%,48,11.03%,3,0.69%,1,0.23%,0,0%,2,0.46%
32,588,527,89.63%,50,8.50%,4,0.68%,5,0.85%,1,0.17%,1,0.17%
33,474,432,91.14%,35,7.38%,2,0.42%,2,0.42%,1,0.21%,2,0.42%
Total,19831,17604,88.77%,1826,9.21%,158,0.80%,79,0.40%,39,0.20%,125,0.63%
,,,,,,,,,,,,,
Ward 50,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,507,239,47.14%,261,51.48%,3,0.59%,1,0.20%,0,0%,3,0.59%
2,332,184,55.42%,144,43.37%,2,0.60%,0,0%,1,0.30%,1,0.30%
3,470,242,51.49%,225,47.87%,0,0%,0,0%,1,0.21%,2,0.43%
4,578,396,68.51%,171,29.58%,2,0.35%,0,0%,3,0.52%,6,1.04%
5,398,154,38.69%,240,60.30%,1,0.25%,1,0.25%,0,0%,2,0.50%
6,553,402,72.69%,141,25.50%,3,0.54%,1,0.18%,1,0.18%,5,0.90%
7,541,467,86.32%,66,12.20%,3,0.55%,0,0%,0,0%,5,0.92%
8,501,417,83.23%,77,15.37%,1,0.20%,2,0.40%,2,0.40%,2,0.40%
9,439,298,67.88%,132,30.07%,2,0.46%,1,0.23%,1,0.23%,5,1.14%
10,605,291,48.10%,307,50.74%,2,0.33%,1,0.17%,2,0.33%,2,0.33%
11,381,96,25.20%,282,74.02%,2,0.52%,0,0%,0,0%,1,0.26%
12,248,134,54.03%,110,44.35%,0,0%,0,0%,0,0%,4,1.61%
13,603,489,81.09%,103,17.08%,6,1.00%,2,0.33%,0,0%,3,0.50%
14,185,87,47.03%,97,52.43%,1,0.54%,0,0%,0,0%,0,0%
15,567,461,81.31%,103,18.17%,2,0.35%,0,0%,0,0%,1,0.18%
16,184,94,51.09%,89,48.37%,1,0.54%,0,0%,0,0%,0,0%
17,592,357,60.30%,234,39.53%,0,0%,0,0%,0,0%,1,0.17%
18,98,39,39.80%,57,58.16%,1,1.02%,0,0%,0,0%,1,1.02%
19,414,322,77.78%,82,19.81%,6,1.45%,1,0.24%,1,0.24%,2,0.48%
20,514,386,75.10%,118,22.96%,6,1.17%,1,0.19%,1,0.19%,2,0.39%
21,459,333,72.55%,123,26.80%,2,0.44%,0,0%,0,0%,1,0.22%
22,493,275,55.78%,209,42.39%,4,0.81%,1,0.20%,0,0%,4,0.81%
23,399,230,57.64%,163,40.85%,1,0.25%,1,0.25%,1,0.25%,3,0.75%
24,472,135,28.60%,334,70.76%,2,0.42%,0,0%,0,0%,1,0.21%
25,562,221,39.32%,340,60.50%,0,0%,0,0%,0,0%,1,0.18%
26,603,385,63.85%,210,34.83%,3,0.50%,3,0.50%,0,0%,2,0.33%
27,209,117,55.98%,91,43.54%,1,0.48%,0,0%,0,0%,0,0%
28,582,439,75.43%,135,23.20%,5,0.86%,2,0.34%,0,0%,1,0.17%
29,523,404,77.25%,114,21.80%,2,0.38%,1,0.19%,1,0.19%,1,0.19%
30,408,336,82.35%,67,16.42%,1,0.25%,0,0%,2,0.49%,2,0.49%
31,700,586,83.71%,103,14.71%,5,0.71%,0,0%,1,0.14%,5,0.71%
32,614,512,83.39%,86,14.01%,6,0.98%,1,0.16%,4,0.65%,5,0.81%
33,406,156,38.42%,245,60.34%,0,0%,0,0%,0,0%,5,1.23%
34,695,455,65.47%,230,33.09%,2,0.29%,3,0.43%,0,0%,5,0.72%
35,652,542,83.13%,99,15.18%,5,0.77%,2,0.31%,0,0%,4,0.61%
36,528,405,76.70%,116,21.97%,0,0%,1,0.19%,1,0.19%,5,0.95%
37,518,432,83.40%,82,15.83%,3,0.58%,0,0%,0,0%,1,0.19%
38,223,133,59.64%,88,39.46%,2,0.90%,0,0%,0,0%,0,0%
39,372,190,51.08%,177,47.58%,1,0.27%,0,0%,2,0.54%,2,0.54%
40,536,158,29.48%,371,69.22%,3,0.56%,1,0.19%,1,0.19%,2,0.37%
Total,18664,11999,64.29%,6422,34.41%,92,0.49%,27,0.14%,26,0.14%,98,0.53%
