Chicago Board of Election Commissioners,,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%,
1067190,877852,82.26%,172402,16.15%,5826,0.55%,2519,0.24%,1331,0.12%,7260,0.68%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
6,608,314,51.64%,290,47.70%,2,0.33%,0,0%,0,0%,2,0.33%
7,560,269,48.04%,282,50.36%,2,0.36%,2,0.36%,0,0%,5,0.89%
8,559,320,57.25%,237,42.40%,0,0%,0,0%,0,0%,2,0.36%
9,653,321,49.16%,321,49.16%,6,0.92%,0,0%,1,0.15%,4,0.61%
10,507,304,59.96%,197,38.86%,2,0.39%,0,0%,0,0%,4,0.79%
11,510,322,63.14%,179,35.10%,1,0.20%,0,0%,1,0.20%,7,1.37%
12,601,230,38.27%,363,60.40%,2,0.33%,0,0%,1,0.17%,5,0.83%
13,643,343,53.34%,293,45.57%,1,0.16%,2,0.31%,1,0.16%,3,0.47%
14,618,392,63.43%,210,33.98%,3,0.49%,1,0.16%,1,0.16%,11,1.78%
15,541,353,65.25%,172,31.79%,4,0.74%,2,0.37%,0,0%,10,1.85%
16,576,327,56.77%,241,41.84%,4,0.69%,0,0%,0,0%,4,0.69%
17,693,314,45.31%,367,52.96%,5,0.72%,1,0.14%,1,0.14%,5,0.72%
18,621,368,59.26%,240,38.65%,4,0.64%,1,0.16%,2,0.32%,6,0.97%
19,659,385,58.42%,263,39.91%,5,0.76%,0,0%,1,0.15%,5,0.76%
20,591,260,43.99%,326,55.16%,4,0.68%,1,0.17%,0,0%,0,0%
21,548,366,66.79%,173,31.57%,1,0.18%,1,0.18%,1,0.18%,6,1.09%
22,510,352,69.02%,150,29.41%,2,0.39%,2,0.39%,2,0.39%,2,0.39%
23,577,381,66.03%,184,31.89%,6,1.04%,0,0%,1,0.17%,5,0.87%
24,613,309,50.41%,297,48.45%,4,0.65%,0,0%,0,0%,3,0.49%
25,535,314,58.69%,208,38.88%,6,1.12%,0,0%,1,0.19%,6,1.12%
26,614,349,56.84%,253,41.21%,2,0.33%,2,0.33%,1,0.16%,7,1.14%
27,602,317,52.66%,278,46.18%,5,0.83%,0,0%,0,0%,2,0.33%
28,704,334,47.44%,362,51.42%,3,0.43%,0,0%,0,0%,5,0.71%
29,609,360,59.11%,242,39.74%,4,0.66%,1,0.16%,0,0%,2,0.33%
30,590,281,47.63%,303,51.36%,1,0.17%,0,0%,0,0%,5,0.85%
31,555,393,70.81%,144,25.95%,5,0.90%,0,0%,5,0.90%,8,1.44%
32,558,363,65.05%,185,33.15%,4,0.72%,1,0.18%,0,0%,5,0.90%
33,560,377,67.32%,176,31.43%,2,0.36%,1,0.18%,1,0.18%,3,0.54%
34,550,394,71.64%,148,26.91%,3,0.55%,1,0.18%,1,0.18%,3,0.55%
35,555,419,75.50%,125,22.52%,1,0.18%,1,0.18%,2,0.36%,7,1.26%
36,545,358,65.69%,174,31.93%,6,1.10%,0,0%,1,0.18%,6,1.10%
37,576,378,65.63%,187,32.47%,4,0.69%,0,0%,0,0%,7,1.22%
38,582,326,56.01%,243,41.75%,11,1.89%,1,0.17%,0,0%,1,0.17%
39,604,424,70.20%,173,28.64%,2,0.33%,1,0.17%,1,0.17%,3,0.50%
40,552,376,68.12%,168,30.43%,2,0.36%,0,0%,1,0.18%,5,0.91%
41,497,396,79.68%,93,18.71%,0,0%,4,0.80%,1,0.20%,3,0.60%
Total,23876,13916,58.28%,9568,40.07%,139,0.58%,31,0.13%,37,0.15%,185,0.77%
,,,,,,,,,,,,,
Ward 39,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,570,360,63.16%,196,34.39%,7,1.23%,0,0%,1,0.18%,6,1.05%
2,551,313,56.81%,231,41.92%,2,0.36%,1,0.18%,1,0.18%,3,0.54%
3,599,484,80.80%,105,17.53%,2,0.33%,2,0.33%,0,0%,6,1.00%
4,554,347,62.64%,196,35.38%,3,0.54%,0,0%,3,0.54%,5,0.90%
5,586,425,72.53%,154,26.28%,3,0.51%,0,0%,1,0.17%,3,0.51%
6,574,435,75.78%,131,22.82%,3,0.52%,4,0.70%,0,0%,1,0.17%
7,515,390,75.73%,117,22.72%,2,0.39%,1,0.19%,0,0%,5,0.97%
8,622,457,73.47%,159,25.56%,2,0.32%,1,0.16%,0,0%,3,0.48%
9,539,386,71.61%,143,26.53%,4,0.74%,0,0%,2,0.37%,4,0.74%
10,262,219,83.59%,41,15.65%,2,0.76%,0,0%,0,0%,0,0%
11,535,364,68.04%,156,29.16%,7,1.31%,0,0%,0,0%,8,1.50%
12,758,614,81.00%,123,16.23%,10,1.32%,2,0.26%,3,0.40%,6,0.79%
13,539,377,69.94%,154,28.57%,4,0.74%,2,0.37%,0,0%,2,0.37%
14,569,430,75.57%,128,22.50%,3,0.53%,2,0.35%,0,0%,6,1.05%
15,695,388,55.83%,298,42.88%,2,0.29%,0,0%,0,0%,7,1.01%
16,574,425,74.04%,136,23.69%,2,0.35%,2,0.35%,3,0.52%,6,1.05%
17,587,425,72.40%,160,27.26%,0,0%,0,0%,1,0.17%,1,0.17%
18,564,411,72.87%,149,26.42%,1,0.18%,1,0.18%,0,0%,2,0.35%
19,557,414,74.33%,128,22.98%,3,0.54%,1,0.18%,1,0.18%,10,1.80%
20,717,402,56.07%,304,42.40%,6,0.84%,0,0%,1,0.14%,4,0.56%
21,567,321,56.61%,236,41.62%,2,0.35%,2,0.35%,0,0%,6,1.06%
22,574,436,75.96%,126,21.95%,6,1.05%,2,0.35%,0,0%,4,0.70%
23,576,346,60.07%,218,37.85%,4,0.69%,0,0%,1,0.17%,7,1.22%
24,717,412,57.46%,298,41.56%,2,0.28%,1,0.14%,0,0%,4,0.56%
25,501,400,79.84%,94,18.76%,3,0.60%,0,0%,0,0%,4,0.80%
26,580,344,59.31%,229,39.48%,2,0.34%,1,0.17%,0,0%,4,0.69%
27,89,57,64.04%,31,34.83%,1,1.12%,0,0%,0,0%,0,0%
28,683,571,83.60%,101,14.79%,7,1.02%,0,0%,1,0.15%,3,0.44%
29,320,249,77.81%,60,18.75%,7,2.19%,2,0.63%,0,0%,2,0.63%
30,670,554,82.69%,106,15.82%,6,0.90%,2,0.30%,2,0.30%,0,0%
31,511,405,79.26%,98,19.18%,2,0.39%,0,0%,1,0.20%,5,0.98%
32,565,315,55.75%,245,43.36%,2,0.35%,1,0.18%,1,0.18%,1,0.18%
33,599,447,74.62%,145,24.21%,4,0.67%,0,0%,0,0%,3,0.50%
34,677,525,77.55%,130,19.20%,10,1.48%,3,0.44%,1,0.15%,8,1.18%
35,582,451,77.49%,118,20.27%,6,1.03%,0,0%,2,0.34%,5,0.86%
36,148,105,70.95%,41,27.70%,2,1.35%,0,0%,0,0%,0,0%
37,538,371,68.96%,151,28.07%,7,1.30%,0,0%,3,0.56%,6,1.12%
38,297,218,73.40%,78,26.26%,0,0%,0,0%,0,0%,1,0.34%
39,364,259,71.15%,98,26.92%,5,1.37%,0,0%,1,0.27%,1,0.27%
40,598,376,62.88%,213,35.62%,0,0%,1,0.17%,0,0%,8,1.34%
41,600,391,65.17%,195,32.50%,4,0.67%,1,0.17%,3,0.50%,6,1.00%
42,591,351,59.39%,232,39.26%,1,0.17%,1,0.17%,1,0.17%,5,0.85%
43,609,362,59.44%,237,38.92%,1,0.16%,2,0.33%,0,0%,7,1.15%
44,474,293,61.81%,173,36.50%,3,0.63%,0,0%,0,0%,5,1.05%
45,515,335,65.05%,170,33.01%,3,0.58%,1,0.19%,1,0.19%,5,0.97%
Total,24412,16960,69.47%,7032,28.81%,158,0.65%,39,0.16%,35,0.14%,188,0.77%
,,,,,,,,,,,,,
Ward 40,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,570,389,68.25%,173,30.35%,4,0.70%,1,0.18%,0,0%,3,0.53%
2,591,456,77.16%,130,22.00%,2,0.34%,2,0.34%,0,0%,1,0.17%
3,663,571,86.12%,83,12.52%,4,0.60%,2,0.30%,0,0%,3,0.45%
4,371,286,77.09%,84,22.64%,0,0%,0,0%,0,0%,1,0.27%
5,618,505,81.72%,105,16.99%,2,0.32%,5,0.81%,0,0%,1,0.16%
6,631,552,87.48%,65,10.30%,5,0.79%,2,0.32%,1,0.16%,6,0.95%
7,538,464,86.25%,57,10.59%,6,1.12%,0,0%,3,0.56%,8,1.49%
8,745,674,90.47%,61,8.19%,3,0.40%,1,0.13%,2,0.27%,4,0.54%
9,514,385,74.90%,121,23.54%,5,0.97%,1,0.19%,0,0%,2,0.39%
10,658,504,76.60%,141,21.43%,3,0.46%,1,0.15%,2,0.30%,7,1.06%
11,552,484,87.68%,55,9.96%,4,0.72%,1,0.18%,0,0%,8,1.45%
12,500,433,86.60%,59,11.80%,4,0.80%,2,0.40%,0,0%,2,0.40%
13,825,749,90.79%,65,7.88%,4,0.48%,5,0.61%,0,0%,2,0.24%
14,592,411,69.43%,172,29.05%,1,0.17%,3,0.51%,0,0%,5,0.84%
15,603,459,76.12%,133,22.06%,3,0.50%,5,0.83%,2,0.33%,1,0.17%
16,740,651,87.97%,66,8.92%,7,0.95%,5,0.68%,0,0%,11,1.49%
17,494,381,77.13%,106,21.46%,2,0.40%,2,0.40%,2,0.40%,1,0.20%
18,517,428,82.79%,81,15.67%,7,1.35%,1,0.19%,0,0%,0,0%
19,700,536,76.57%,155,22.14%,4,0.57%,1,0.14%,0,0%,4,0.57%
20,618,486,78.64%,120,19.42%,5,0.81%,2,0.32%,2,0.32%,3,0.49%
21,650,581,89.38%,61,9.38%,2,0.31%,0,0%,0,0%,6,0.92%
22,684,604,88.30%,72,10.53%,3,0.44%,1,0.15%,0,0%,4,0.58%
23,651,571,87.71%,66,10.14%,5,0.77%,2,0.31%,2,0.31%,5,0.77%
24,580,398,68.62%,169,29.14%,5,0.86%,3,0.52%,1,0.17%,4,0.69%
25,669,596,89.09%,64,9.57%,2,0.30%,2,0.30%,0,0%,5,0.75%
26,608,545,89.64%,52,8.55%,5,0.82%,0,0%,1,0.16%,5,0.82%
27,757,631,83.36%,112,14.80%,6,0.79%,2,0.26%,1,0.13%,5,0.66%
28,588,517,87.93%,58,9.86%,8,1.36%,0,0%,0,0%,5,0.85%
29,553,415,75.05%,130,23.51%,5,0.90%,2,0.36%,0,0%,1,0.18%
30,481,317,65.90%,154,32.02%,4,0.83%,2,0.42%,3,0.62%,1,0.21%
31,611,554,90.67%,48,7.86%,3,0.49%,1,0.16%,0,0%,5,0.82%
32,611,539,88.22%,65,10.64%,0,0%,2,0.33%,0,0%,5,0.82%
33,528,488,92.42%,34,6.44%,2,0.38%,0,0%,0,0%,4,0.76%
34,522,368,70.50%,143,27.39%,4,0.77%,1,0.19%,0,0%,6,1.15%
35,381,278,72.97%,96,25.20%,4,1.05%,0,0%,1,0.26%,2,0.52%
36,500,420,84.00%,71,14.20%,2,0.40%,1,0.20%,0,0%,6,1.20%
37,612,510,83.33%,93,15.20%,5,0.82%,2,0.33%,0,0%,2,0.33%
38,656,563,85.82%,80,12.20%,4,0.61%,1,0.15%,2,0.30%,6,0.91%
39,259,186,71.81%,72,27.80%,0,0%,0,0%,1,0.39%,0,0%
Total,22941,18885,82.32%,3672,16.01%,144,0.63%,64,0.28%,26,0.11%,150,0.65%
,,,,,,,,,,,,,
Ward 41,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,588,252,42.86%,327,55.61%,5,0.85%,0,0%,0,0%,4,0.68%
2,639,258,40.38%,373,58.37%,3,0.47%,0,0%,0,0%,5,0.78%
3,607,317,52.22%,277,45.63%,2,0.33%,0,0%,0,0%,11,1.81%
4,589,320,54.33%,261,44.31%,3,0.51%,1,0.17%,1,0.17%,3,0.51%
5,724,388,53.59%,318,43.92%,6,0.83%,0,0%,0,0%,12,1.66%
6,675,386,57.19%,275,40.74%,2,0.30%,0,0%,0,0%,12,1.78%
7,635,322,50.71%,299,47.09%,7,1.10%,0,0%,1,0.16%,6,0.94%
8,620,314,50.65%,294,47.42%,3,0.48%,1,0.16%,0,0%,8,1.29%
9,599,342,57.10%,247,41.24%,4,0.67%,1,0.17%,0,0%,5,0.83%
10,608,340,55.92%,255,41.94%,2,0.33%,0,0%,2,0.33%,9,1.48%
11,663,292,44.04%,361,54.45%,3,0.45%,1,0.15%,1,0.15%,5,0.75%
12,673,309,45.91%,361,53.64%,0,0%,1,0.15%,1,0.15%,1,0.15%
13,739,340,46.01%,387,52.37%,2,0.27%,0,0%,1,0.14%,9,1.22%
